N,C,E,seed,heuristic,canon_level,solved,timeout_reason,cost,expanded,generated,duplicates_detected,reopened,canon_calls,canon_time_s,wall_time_s,h_evaluations,open_max_size,closed_max_size,peak_rss_mb
4,4,2,1,h4,L2,1,,12,12,68,26,0,67,0.001519,0.0021,41,30,12,15.2
4,4,2,1,h4,L3,1,,12,12,68,26,0,67,0.001798,0.0024,41,30,12,15.2
4,4,2,2,h1,L0,1,,12,300,1126,497,0,1125,0.000413,0.0085,640,341,300,15.2
4,4,2,2,h1,L1,1,,12,184,707,385,0,706,0.000519,0.0051,333,150,184,15.2
4,4,2,2,h1,L2,1,,12,166,634,356,0,633,0.013861,0.019,289,124,166,15.2
4,4,2,2,h1,L3,1,,12,166,634,356,0,633,0.015821,0.0213,289,124,166,15.2
4,4,2,2,h4,L0,1,,12,13,87,3,0,86,3.1e-05,0.0007,83,70,13,15.2
4,4,2,2,h4,L1,1,,12,13,87,31,0,86,6.2e-05,0.0006,55,43,13,15.2
4,4,2,2,h4,L2,1,,12,13,87,34,0,86,0.001906,0.0026,52,40,13,15.2
4,4,2,2,h4,L3,1,,12,13,87,34,0,86,0.002257,0.0029,52,40,13,15.2
4,4,2,3,h1,L0,1,,11,306,1115,463,0,1114,0.00042,0.0083,676,370,306,15.2
4,4,2,3,h1,L1,1,,11,142,513,257,0,512,0.000393,0.0037,265,125,142,15.2
4,4,2,3,h1,L2,1,,11,137,494,259,0,493,0.01135,0.0157,246,111,137,15.2
4,4,2,3,h1,L3,1,,11,137,494,259,0,493,0.01316,0.0174,246,111,137,15.2
4,4,2,3,h4,L0,1,,11,11,47,2,0,46,4.4e-05,0.0004,44,33,11,15.2
4,4,2,3,h4,L1,1,,11,11,47,16,0,46,3.8e-05,0.0004,30,20,11,15.2
4,4,2,3,h4,L2,1,,11,11,47,17,0,46,0.001137,0.0016,29,19,11,15.2
4,4,2,3,h4,L3,1,,11,11,47,17,0,46,0.00127,0.0017,29,19,11,15.2
4,4,2,4,h1,L0,1,,12,367,1237,507,0,1236,0.000445,0.0092,747,381,367,15.2
4,4,2,4,h1,L1,1,,12,159,536,279,0,535,0.000384,0.004,263,106,159,15.2
4,4,2,4,h1,L2,1,,12,154,516,273,0,515,0.011112,0.0156,249,97,154,15.2
4,4,2,4,h1,L3,1,,12,154,516,273,0,515,0.014165,0.019,249,97,154,15.2
4,4,2,4,h4,L0,1,,12,12,60,3,0,59,3.1e-05,0.0007,56,44,12,15.2
4,4,2,4,h4,L1,1,,12,12,60,23,0,59,4.3e-05,0.0004,36,25,12,15.2
4,4,2,4,h4,L2,1,,12,12,60,23,0,59,0.001483,0.002,36,25,12,15.2
4,4,2,4,h4,L3,1,,12,12,60,23,0,59,0.001744,0.0023,36,25,12,15.2
5,4,1,5,h1,L0,1,,14,33,53,12,0,52,2e-05,0.0006,40,11,33,15.2
5,4,1,5,h1,L1,1,,14,33,53,13,0,52,3.9e-05,0.0006,39,10,33,15.2
5,4,1,5,h1,L2,1,,14,32,52,14,0,51,0.001511,0.0021,37,9,32,15.2
5,4,1,5,h1,L3,1,,14,32,52,14,0,51,0.001573,0.0023,37,9,32,15.2
5,4,1,5,h4,L0,1,,14,15,30,1,0,29,1.1e-05,0.0004,28,14,15,15.2
5,4,1,5,h4,L1,1,,14,15,30,2,0,29,2.2e-05,0.0003,27,13,15,15.2
5,4,1,5,h4,L2,1,,14,15,30,2,0,29,0.00078,0.0012,27,13,15,15.2
5,4,1,5,h4,L3,1,,14,15,30,2,0,29,0.001057,0.0015,27,13,15,15.2
5,4,1,7,h1,L0,1,,15,36,56,7,0,55,2e-05,0.0006,48,14,36,15.2
5,4,1,7,h1,L1,1,,15,35,54,7,0,53,3.8e-05,0.0005,46,12,35,15.2
5,4,1,7,h1,L2,1,,15,35,54,7,0,53,0.001443,0.0021,46,12,35,15.2
5,4,1,7,h1,L3,1,,15,35,54,7,0,53,0.001876,0.0026,46,12,35,15.2
5,4,1,7,h4,L0,1,,15,23,47,4,0,46,1.7e-05,0.0005,42,21,23,15.2
5,4,1,7,h4,L1,1,,15,21,40,5,0,39,3.2e-05,0.0005,34,14,21,15.2
5,4,1,7,h4,L2,1,,15,21,40,7,0,39,0.00106,0.0016,33,13,21,15.2
5,4,1,7,h4,L3,1,,15,21,40,7,0,39,0.001796,0.0024,33,13,21,15.2
5,4,1,14,h1,L0,1,,13,24,34,1,0,33,1.1e-05,0.0004,32,9,24,15.2
5,4,1,14,h1,L1,1,,13,24,34,1,0,33,2.5e-05,0.0004,32,9,24,15.2
5,4,1,14,h1,L2,1,,13,24,34,1,0,33,0.000843,0.0013,32,9,24,15.2
5,4,1,14,h1,L3,1,,13,24,34,1,0,33,0.00113,0.0016,32,9,24,15.2
